,url,ean,cat1,cat2,cat3,desc,preco,imagem
3318,https://www.superabc.com.br/7896183201357-beb-lactea-quata-choc-tp-1l/p,7896183201357,Mercearia,Matinais,Bebidas Lácteas,BEBIDA LÁCTEA QUATÁ CHOCOLATE TP 1 LITRO - UNIDADE,2.99,https://abcemcasa.vteximg.com.br/arquivos/ids/251033-1000-1000/7896183201357.jpg?v=637002223513200000
3319,https://www.superabc.com.br/alim-nutren-kids-choc-350g/p,7891000087817,Mercearia,Matinais,Complemento Alimentar,ALIMENTO NUTREN KIDS CHOCOLATE 350G - UNIDADE,29.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249628-1000-1000/7891000087817.jpg?v=637002214888230000
3320,https://www.superabc.com.br/7891000076392-cappuc-nescafe-trad-lt-200g/p,7891000076392,Mercearia,Matinais,Cafés,CAPPUCCINO NESCAFÉ TRADICIONAL LT 200G - UNIDADE,11.69,https://abcemcasa.vteximg.com.br/arquivos/ids/252964-1000-1000/7891000076392.jpg?v=637002249917100000
3321,https://www.superabc.com.br/alim-nutren-kids-baun-350g/p,7891000087794,Mercearia,Matinais,Complemento Alimentar,ALIMENTO NUTREN KIDS BAUNILHA 350G - UNIDADE,29.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249626-1000-1000/7891000087794.jpg?v=637002214878500000
3322,https://www.superabc.com.br/7891000076415-cappuc-nescafe-choc-lt-200g/p,7891000076415,Mercearia,Matinais,Cafés,CAPPUCCINO NESCAFÉ CHOCOLATE LT 200G - UNIDADE,11.69,https://abcemcasa.vteximg.com.br/arquivos/ids/252963-1000-1000/7891000076415.jpg?v=637002249911300000
3323,https://www.superabc.com.br/7891000029329nescafe-tradicao-100g/p,7891000029329,Mercearia,Matinais,Cafés,NESCAFÉ TRADIÇÃO 100G - UNIDADE,10.9,https://abcemcasa.vteximg.com.br/arquivos/ids/263011-1000-1000/7891000029329.jpg?v=637002336532400000
3324,https://www.superabc.com.br/achoc-po-ovomaltine-suico-sache-300g/p,,Mercearia,Matinais,Achocolatados,ACHOCOLATADO EM PÓ OVOMALTINE SUIÇO SACHE 300G - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249282-1000-1000/Achocolatado-em-Po-Tipo-Suico-Chocolate-e-Mel--Ovomaltine-Pacote-300g.jpg?v=637002213495300000
3325,https://www.superabc.com.br/7891000062661leite-po-ninho-cresc-prebio-1-800g/p,7891000062661,Mercearia,Matinais,Bebidas Lácteas,LEITE EM PÓ NINHO CRESC PREBIO 1 800G - UNIDADE,28.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259723-1000-1000/7891000062661.jpg?v=637002319507500000
3326,https://www.superabc.com.br/7898393030154-cafe-pronto-faz-caete-c-16-saq/p,7898393030154,Mercearia,Matinais,Cafés,CAFÉ PRONTO FAZ CAETÉ COM 16 SAQ - UNIDADE,4.99,https://abcemcasa.vteximg.com.br/arquivos/ids/252654-1000-1000/7898393030154.jpg?v=637002248646200000
3327,https://www.superabc.com.br/7896043004135alim-sustare-crianca-mor-380g/p,7896043004135,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTARE CRIANCA MORANGO 380G - UNIDADE,19.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249687-1000-1000/7896043004135.jpg?v=637002215125270000
3328,https://www.superabc.com.br/7898393030048cafe-fazenda-caete-espresso-1kg/p,7898393030048,Mercearia,Matinais,Cafés,CAFÉ FAZENDA CAETÉ ESPRESSO 1KG - UNIDADE,35.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252633-1000-1000/7898393030048.jpg?v=637002248553700000
3329,https://www.superabc.com.br/7897137000026leite-po-cabra-caprilat-400g/p,7897137000026,Mercearia,Matinais,Bebidas Lácteas,LEITE EM PÓ CABRA CAPRILAT 400G - UNIDADE,46.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259682-1000-1000/Principal.jpg?v=637002319375800000
