link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7891010514853-prot-neutrogena-sun-fresh-fps-60-200ml/p,7891010514853,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,PROTETOR NEUTROGENA SUN FRESH FPS 60 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265411-1000-1000/7891010514853.jpg?v=637002353038570000
https://www.superabc.com.br/7891361655410prato-raso-oxford-beauty-1481/p,7891361655410,Bazar,Casa e Cozinha,Cerâmica,PRATO RASO OXFORD BEAUTY 1481 - UNIDADE,14.9,https://abcemcasa.vteximg.com.br/arquivos/ids/265277-1000-1000/7891361655410.jpg?v=637002352576900000
https://www.superabc.com.br/7501037600056-pilha-eveready-sm-peq-aa-c-04/p,7501037600056,Bazar,Casa e Construção,Acendimentos,PILHA EVEREADY SM PEQ AA COM 04 - UNIDADE,4.99,https://abcemcasa.vteximg.com.br/arquivos/ids/264556-1000-1000/7501037600056.jpg?v=637002350667430000
https://www.superabc.com.br/7897698210766-bacia-mb-c--tampa-500ml-sort/p,7897698210766,Bazar,Casa e Cozinha,Plástico,BACIA MB COM  TAMPA 500ML SORTIDOS - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250428-1000-1000/7897698210766.jpg?v=637002220770200000
https://www.superabc.com.br/7891010099473-neutrogena-body-care-intensive-200ml/p,7891010099473,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,NEUTROGENA BODY CARE INTENSIVE 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263041-1000-1000/7891010099473.jpg?v=637002336589600000
https://www.superabc.com.br/7891361320592caneca-oxford-jumbo-col-806/p,7891361320592,Bazar,Casa e Cozinha,Cerâmica,CANECA OXFORD JUMBO COL 806 - UNIDADE,20.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252860-1000-1000/7891361320592.jpg?v=637002249494370000
https://www.superabc.com.br/7891093019962durepoxi-100g/p,7891093019962,Bazar,Casa e Construção,Hidráulicos,DUREPOXI 100G - UNIDADE,11.9,https://abcemcasa.vteximg.com.br/arquivos/ids/256122-1000-1000/7891093019962.jpg?v=637002273468100000
https://www.superabc.com.br/7896768703306-caixa-org-biopratika-c-tpa-11l/p,7896768703306,Bazar,Casa e Cozinha,Plástico,CAIXA ORGANIZADORA BIOPRATIKA COM TAMPA 11 LITRO - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/252676-1000-1000/7896768703306.jpg?v=637002248737900000
https://www.superabc.com.br/7891361042142-ap-jantar-oxford-nativa-20pcs/p,7891361042142,Bazar,Casa e Cozinha,Utensílios,AP JANTAR OXFORD NATIVA 20PCS - UNIDADE,279.9,https://abcemcasa.vteximg.com.br/arquivos/ids/265889-1000-1000/7891361042142.jpg?v=637002780645370000
https://www.superabc.com.br/7891071751006ducha-corona-minha-ducha-4t-220v/p,7891071751006,Bazar,Casa e Construção,Hidráulicos,DUCHA CORONA MINHA DUCHA 4T 220V - UNIDADE,57.99,https://abcemcasa.vteximg.com.br/arquivos/ids/256090-1000-1000/7891071751006.jpg?v=637002273354270000
https://www.superabc.com.br/7896768703115-conj-pote-biopratika-pleion-600ml-c-6/p,7896768703115,Bazar,Casa e Cozinha,Plástico,CONJUNTO POTE BIOPRATIKA PLEION 600ML COM 6 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/254594-1000-1000/7896768703115.jpg?v=637002256958300000
https://www.superabc.com.br/7891071442102resistencia-ducha-gorducha-3t-127v/p,7891071442102,Bazar,Casa e Construção,Elétricos,RESISTÊNCIA DUCHA GORDUCHA 3T 127V - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/243166-1000-1000/7891071442102.jpg?v=636943339138530000
https://www.superabc.com.br/7891361003662-prato-raso-oxford-gourmet-27cm/p,7891361003662,Bazar,Casa e Cozinha,Cerâmica,PRATO RASO OXFORD GOURMET 27CM - UNIDADE,19.39,https://abcemcasa.vteximg.com.br/arquivos/ids/265279-1000-1000/7891361003662.jpg?v=637002352582870000
https://www.superabc.com.br/7896725305888panela-pressao-panelux-7l/p,7896725305888,Bazar,Casa e Cozinha,Alumínio e Ferro,PANELA DE PRESSÃO PANELUX 7L - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263676-1000-1000/7896725305888.jpg?v=637002347989900000
https://www.superabc.com.br/7891071402106ducha-corona-gorducha-127v/p,7891071402106,Bazar,Casa e Construção,Hidráulicos,DUCHA CORONA GORDUCHA 127V - UNIDADE,45.9,https://abcemcasa.vteximg.com.br/arquivos/ids/256081-1000-1000/7891071402106.jpg?v=637002273308630000
https://www.superabc.com.br/7891361000562-caneca-oxford-az12-col-360ml-806/p,7891361000562,Bazar,Casa e Cozinha,Cerâmica,CANECA OXFORD AZ12 COL 360ML 806 - UNIDADE,12.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252856-1000-1000/7891361000562.jpg?v=637002249481530000
https://www.superabc.com.br/7896725303969porta-maion-tritec-200ml/p,7896725303969,Bazar,Casa e Cozinha,Plástico,PORTA MAIONESE TRITEC 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265082-1000-1000/7896725303969.jpg?v=637002351912770000
https://www.superabc.com.br/7891360642701-kit-lapis-f-castell-24cores---apontador/p,7891360642701,Bazar,Papelaria e Festas,Escola e Escritório,KIT LÁPIS FABER CASTELL 24CORES + APONTADOR - UNIDADE,29.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259331-1000-1000/7891360642701.jpg?v=637002313067200000
https://www.superabc.com.br/7891071331109ducha-corona-gorducha-220v/p,7891071331109,Bazar,Casa e Construção,Hidráulicos,DUCHA CORONA GORDUCHA 220V - UNIDADE,45.9,https://abcemcasa.vteximg.com.br/arquivos/ids/256086-1000-1000/7891071331109.jpg?v=637002273328770000
https://www.superabc.com.br/7896725303952porta-most-tritec-200ml/p,7896725303952,Bazar,Casa e Cozinha,Plástico,PORTA MOSTARDA TRITEC 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265084-1000-1000/7896725303952.jpg?v=637002351921530000
https://www.superabc.com.br/7891360623649-lapis-cor-faber-winner-c-36-cores/p,7891360623649,Bazar,Papelaria e Festas,Escola e Escritório,LÁPIS COR FABER WINNER COM 36 CORES - UNIDADE,19.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259481-1000-1000/7891360623649.jpg?v=637002318644430000
https://www.superabc.com.br/7896725303945porta-catchup-tritec-200ml/p,7896725303945,Bazar,Casa e Cozinha,Plástico,PORTA CATCHUP TRITEC 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265052-1000-1000/7896725303945.jpg?v=637002351811300000
https://www.superabc.com.br/7896080203041vela-7-dias-s-domingos-n-s-aparecida-4/p,7896080203041,Bazar,Casa e Construção,Acendimentos,VELA 7 DIAS SÃO DOMINGOS NOSSA SENHORA APARECIDA 4 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/237555-1000-1000/7896080203041.jpg?v=636935431169800000
https://www.superabc.com.br/7891360615194kit-lapis-cor-f-castell-12c/p,7891360615194,Bazar,Papelaria e Festas,Escola e Escritório,KIT LÁPIS COR FABER CASTELL 12C - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259330-1000-1000/7891360615194.jpg?v=637002313062830000
https://www.superabc.com.br/7896502884810-escorredor-prato-brinox/p,7896502884810,Bazar,Casa e Cozinha,Alumínio e Ferro,ESCORREDOR PRATO BRINOX - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/256239-1000-1000/7896502884810.jpg?v=637002278246130000
https://www.superabc.com.br/7896080201139vela-8fp-s-domingos/p,7896080201139,Bazar,Casa e Construção,Acendimentos,VELA 8FP SÃO DOMINGOS - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/237840-1000-1000/7896080201139.jpg?v=636935432573800000
